,vote,tax_rate,budget,budget_change,tax_rate_change
0,1.0,0.44565562493385535,0.553448783179714,0.21989528795811522,0.22113105316627157
1,1.0,0.17536247221928244,0.1277391309607436,0.18324607329842935,0.14663054520826277
2,1.0,0.20086781670017992,0.6996081013111006,0.1884816753926702,0.0924483576024382
3,1.0,0.1678484495713832,0.3090652011303438,0.5026178010471205,0.26176769387064003
4,1.0,0.1508096094824849,0.1283153800073555,0.5916230366492147,0.18388079918726719
5,1.0,0.22362154725367758,0.44800331982450664,0.2460732984293194,0.0
6,1.0,0.15895861995978408,0.15436024057104966,0.2565445026178011,0.0653572637995259
7,0.0,0.3925283098740606,0.4676589769812297,0.31937172774869116,0.17372163901117507
8,1.0,0.2544184569795745,0.4095655467872645,0.16753926701570684,0.12631222485607854
9,0.0,0.43274420573605665,0.34924241894140623,0.20942408376963353,0.13308499830680662
10,1.0,0.17451582178008251,0.1725780384690239,0.1099476439790576,0.13647138503217066
11,1.0,0.1109112075351889,0.1320147807619538,0.356020942408377,0.2820860142228242
12,1.0,0.19790454016298017,0.19288259844817893,0.324607329842932,0.2820860142228242
13,1.0,0.23886125515927611,0.11428174460620433,0.26178010471204194,0.26176769387064003
14,0.0,0.2439411577944756,0.3884109518629004,0.47643979057591634,0.2685404673213681
15,0.0,0.33516774261826643,0.6301459444285193,0.19895287958115188,0.1872671859126312
16,1.0,0.37474865065086244,0.5604179003438305,0.010471204188481678,0.07213003725025398
17,1.0,0.17737326701238224,0.8009451158007019,0.2984293193717278,0.14324415848289873
18,1.0,0.15853529474018413,0.1785275477713994,0.4450261780104713,0.3599729089061971
19,1.0,0.16710763043708327,0.10238259554250229,0.2408376963350786,0.16017609210971892
20,1.0,0.1579003069107842,0.13957473465538853,0.162303664921466,0.12631222485607854
21,1.0,0.07058948036829293,0.02366735292028211,0.23560209424083772,0.15678970538435488
22,1.0,0.13377076939358662,0.05697467352944002,0.2670157068062828,0.1296986115814426
23,1.0,0.013546407027198636,0.8966036435287439,0.1099476439790576,0.16356247883508293
24,1.0,0.38861255159276104,0.08044763075278018,0.2303664921465969,0.16017609210971892
25,1.0,0.24531696475817547,0.1548929519077309,0.2722513089005236,0.21774466644090754
26,0.0,0.329241189543867,0.14583038367621703,0.2513089005235602,0.20758550626481542
27,1.0,0.8004021589586199,0.26317211413829905,0.26178010471204194,0.23129021334236366
28,0.0,0.9999999999999998,0.2700990574815184,0.39790575916230375,0.2990179478496444
29,0.0,0.8773415176209122,1.0,0.5287958115183247,1.0
30,1.0,0.7037781775849294,0.2302620766147468,0.0,0.0010159160176092114
31,1.0,0.8726849402053126,0.2947536170040671,0.21989528795811522,0.13647138503217066
32,1.0,0.0,0.0,1.0,0.06197087707416187
33,1.0,0.027939464493597195,0.41980575610983745,0.19371727748691103,0.17372163901117507
34,1.0,0.11027621970578896,0.04434870206982614,0.31937172774869116,0.6004063664070437
35,1.0,0.08815747698169119,0.2474359419865649,0.356020942408377,0.166948865560447
36,1.0,0.24341200126997561,0.09391382901646642,0.26178010471204194,0.13647138503217066
37,0.0,0.2662715631283733,0.07918912883189072,0.5130890052356022,0.2448357602438198
